-1.845034, -0.481832, -0.476791, 5.291772
-1.769570, -0.490120, -0.473372, 2.645886
-1.660279, -0.503843, -0.466315, 1.763924
-1.564581, -0.523392, -0.458268, 1.322943
-1.460322, -0.545299, -0.449241, 1.058354
-1.376651, -0.572815, -0.439061, 0.881962
-1.307282, -0.596312, -0.429046, 0.755967
-1.236655, -0.615247, -0.418455, 0.661472
-1.180175, -0.636402, -0.407642, 0.587975
-1.124976, -0.649972, -0.396683, 0.529177
-1.076019, -0.664531, -0.385632, 0.481070
-1.037496, -0.678897, -0.373701, 0.440981
-0.997031, -0.683234, -0.363660, 0.407059
-0.963818, -0.690210, -0.352836, 0.377984
-0.932910, -0.693196, -0.341135, 0.352785
-0.901380, -0.692314, -0.330820, 0.330736
-0.877893, -0.697027, -0.319862, 0.311281
-0.853242, -0.695188, -0.310660, 0.293987
-0.830977, -0.693521, -0.301181, 0.278514
-0.812926, -0.692970, -0.290768, 0.264589
-0.791781, -0.686649, -0.280520, 0.251989
-0.776567, -0.686328, -0.269533, 0.240535
-0.762075, -0.684188, -0.258933, 0.230077
-0.746776, -0.679120, -0.255003, 0.220491
-0.735663, -0.677591, -0.257449, 0.211671
-0.721443, -0.670666, -0.260230, 0.203530
-0.710463, -0.667156, -0.261758, 0.195992
-0.702870, -0.666086, -0.263663, 0.188992
-0.692006, -0.660210, -0.263913, 0.182475
-0.685131, -0.658170, -0.264102, 0.176392
-0.675901, -0.652897, -0.259790, 0.170702
-0.667013, -0.647332, -0.258466, 0.165368
-0.663210, -0.647082, -0.253326, 0.160357
-0.655798, -0.642154, -0.248398, 0.155640
-0.650613, -0.639127, -0.245978, 0.151193
-0.645667, -0.636122, -0.239231, 0.146994
-0.637775, -0.629718, -0.233281, 0.143021
-0.635832, -0.629228, -0.229632, 0.139257
-0.631456, -0.626298, -0.213743, 0.135686
