Time ( s )	Y (  )
0.0000	113.285
0.0010	113.285
0.0020	113.285
0.0030	112.796
0.0040	113.285
0.0050	112.796
0.0060	113.285
0.0070	113.285
0.0080	112.796
0.0090	113.285
0.0100	113.285
0.0110	112.796
0.0120	113.285
0.0130	113.285
0.0140	113.285
0.0150	112.796
0.0160	112.796
0.0170	112.796
0.0180	112.796
0.0190	112.796
0.0200	112.796
0.0210	112.796
0.0220	112.796
0.0230	112.796
0.0240	112.796
0.0250	112.796
0.0260	112.796
0.0270	112.796
0.0280	112.796
0.0290	112.796
0.0300	112.796
0.0310	112.796
0.0320	112.796
0.0330	112.796
0.0340	112.796
0.0350	112.796
0.0360	112.796
0.0370	112.796
0.0380	112.796
0.0390	112.796
0.0400	112.796
0.0410	113.285
0.0420	112.796
0.0430	112.796
0.0440	112.796
0.0450	113.285
0.0460	113.285
0.0470	112.796
0.0480	112.796
0.0490	112.796
0.0500	113.285
0.0510	113.285
0.0520	113.285
0.0530	112.796
0.0540	112.796
0.0550	112.796
0.0560	113.285
0.0570	112.796
0.0580	113.285
0.0590	112.796
0.0600	112.796
0.0610	112.796
0.0620	112.796
0.0630	112.796
0.0640	112.796
0.0650	112.796
0.0660	112.796
0.0670	113.285
0.0680	112.796
0.0690	112.796
0.0700	112.796
0.0710	112.796
0.0720	112.796
0.0730	112.796
0.0740	112.796
0.0750	112.796
0.0760	112.796
0.0770	112.796
0.0780	112.796
0.0790	112.796
0.0800	112.796
0.0810	112.796
0.0820	112.796
0.0830	112.796
0.0840	112.796
0.0850	112.796
0.0860	112.796
0.0870	112.796
0.0880	112.796
0.0890	113.285
0.0900	112.796
0.0910	112.796
0.0920	112.796
0.0930	113.285
0.0940	112.796
0.0950	112.796
0.0960	112.796
0.0970	113.285
0.0980	113.285
0.0990	112.796
0.1000	112.796
0.1010	113.285
0.1020	113.285
0.1030	112.796
0.1040	112.796
0.1050	112.796
0.1060	112.796
0.1070	112.796
0.1080	112.796
0.1090	112.796
0.1100	112.796
0.1110	112.796
0.1120	112.796
0.1130	112.796
0.1140	112.796
0.1150	112.796
0.1160	112.796
0.1170	112.796
0.1180	112.796
0.1190	112.796
0.1200	112.796
0.1210	112.796
0.1220	112.796
0.1230	112.796
0.1240	112.796
0.1250	113.285
0.1260	112.796
0.1270	112.796
0.1280	113.285
0.1290	112.796
0.1300	112.796
0.1310	112.796
0.1320	113.285
0.1330	112.796
0.1340	112.796
0.1350	113.285
0.1360	112.796
0.1370	113.285
0.1380	112.796
0.1390	112.796
0.1400	113.285
0.1410	113.285
0.1420	112.796
0.1430	113.285
0.1440	112.796
0.1450	112.796
0.1460	113.285
0.1470	112.796
0.1480	112.796
0.1490	112.796
0.1500	112.796
0.1510	112.796
0.1520	112.796
0.1530	112.796
0.1540	112.796
0.1550	112.796
0.1560	112.796
0.1570	112.796
0.1580	112.796
0.1590	112.796
0.1600	113.285
0.1610	112.796
0.1620	112.796
0.1630	112.796
0.1640	112.796
0.1650	112.796
0.1660	112.796
0.1670	112.796
0.1680	112.796
0.1690	112.796
0.1700	112.796
0.1710	113.285
0.1720	112.796
0.1730	113.285
0.1740	113.285
0.1750	113.285
0.1760	113.285
0.1770	112.796
0.1780	113.285
0.1790	112.796
0.1800	112.796
0.1810	113.285
0.1820	112.796
0.1830	112.796
0.1840	112.796
0.1850	112.796
0.1860	113.285
0.1870	112.796
0.1880	112.796
0.1890	113.285
0.1900	112.796
0.1910	112.796
0.1920	112.796
0.1930	112.796
0.1940	112.796
0.1950	112.796
0.1960	112.796
0.1970	112.796
0.1980	112.796
0.1990	112.796
0.2000	112.796
0.2010	112.796
0.2020	112.796
0.2030	112.796
0.2040	112.796
0.2050	113.285
0.2060	113.285
0.2070	113.285
0.2080	113.285
0.2090	113.285
0.2100	113.285
0.2110	113.285
0.2120	112.796
0.2130	113.285
0.2140	112.796
0.2150	112.796
0.2160	112.796
0.2170	113.285
0.2180	113.285
0.2190	112.796
0.2200	113.285
