Time ( s )	Y (  )
0.3090	295.433
0.3100	295.433
0.3110	295.433
0.3120	295.433
0.3130	295.433
0.3140	295.433
0.3150	295.433
0.3160	295.233
0.3170	295.233
0.3180	295.433
0.3190	295.433
0.3200	295.233
0.3210	295.433
0.3220	295.433
0.3230	295.233
0.3240	295.433
0.3250	295.433
0.3260	295.433
0.3270	295.433
0.3280	295.433
0.3290	295.433
0.3300	295.433
0.3310	295.433
0.3320	295.433
0.3330	295.433
0.3340	295.433
0.3350	295.433
0.3360	295.433
0.3370	295.433
0.3380	295.433
0.3390	295.433
0.3400	295.433
0.3410	295.433
0.3420	295.433
0.3430	295.433
0.3440	295.433
0.3450	295.433
0.3460	295.433
0.3470	295.433
0.3480	295.433
0.3490	295.433
0.3500	295.433
0.3510	295.433
0.3520	295.433
0.3530	295.433
0.3540	295.433
0.3550	295.433
0.3560	295.433
0.3570	295.433
0.3580	295.433
0.3590	295.433
0.3600	295.433
0.3610	295.433
0.3620	295.433
0.3630	295.433
0.3640	295.433
0.3650	295.433
0.3660	295.433
0.3670	295.433
0.3680	295.433
0.3690	295.433
0.3700	295.433
0.3710	295.433
0.3720	295.433
0.3730	295.433
0.3740	295.433
0.3750	295.433
0.3760	295.433
0.3770	295.433
0.3780	295.433
0.3790	295.433
0.3800	295.433
0.3810	295.433
0.3820	295.433
0.3830	295.433
0.3840	295.433
0.3850	295.433
0.3860	295.433
0.3870	295.433
0.3880	295.433
0.3890	295.433
0.3900	295.433
0.3910	295.433
0.3920	295.433
0.3930	295.433
0.3940	295.433
0.3950	295.433
0.3960	295.433
0.3970	295.433
0.3980	295.433
0.3990	295.433
0.4000	295.433
0.4010	295.433
0.4020	295.433
0.4030	295.433
0.4040	295.433
0.4050	295.433
0.4060	295.433
0.4070	295.433
0.4080	295.433
0.4090	295.433
0.4100	295.433
0.4110	295.433
0.4120	295.433
0.4130	295.433
0.4140	295.433
0.4150	295.433
0.4160	295.433
0.4170	295.433
0.4180	295.433
0.4190	295.433
0.4200	295.433
0.4210	295.433
0.4220	295.433
0.4230	295.433
0.4240	295.433
0.4250	295.632
0.4260	295.632
0.4270	295.632
0.4280	295.632
0.4290	295.632
0.4300	295.632
0.4310	295.632
0.4320	295.632
0.4330	295.632
0.4340	295.632
0.4350	295.433
0.4360	295.632
0.4370	295.632
0.4380	295.433
0.4390	295.433
0.4400	295.433
0.4410	295.433
0.4420	295.433
0.4430	295.433
0.4440	295.433
0.4450	295.433
0.4460	295.632
0.4470	295.433
0.4480	295.632
0.4490	295.632
0.4500	295.632
0.4510	295.632
0.4520	295.433
0.4530	295.632
0.4540	295.632
0.4550	295.632
0.4560	295.632
0.4570	295.632
0.4580	295.632
0.4590	295.632
0.4600	295.433
0.4610	295.632
0.4620	295.632
0.4630	295.632
0.4640	295.632
0.4650	295.632
0.4660	295.632
0.4670	295.632
0.4680	295.632
0.4690	295.632
0.4700	295.632
0.4710	295.632
0.4720	295.632
0.4730	295.632
0.4740	295.632
0.4750	295.632
0.4760	295.632
0.4770	295.632
0.4780	295.632
0.4790	295.632
0.4800	295.831
0.4810	295.632
0.4820	295.632
0.4830	295.632
0.4840	295.632
0.4850	295.632
0.4860	295.632
0.4870	295.632
0.4880	295.632
0.4890	295.632
0.4900	295.632
0.4910	295.632
0.4920	295.632
0.4930	295.632
0.4940	295.632
0.4950	295.632
0.4960	295.632
0.4970	295.632
0.4980	295.632
0.4990	295.632
0.5000	295.632
0.5010	295.632
0.5020	295.632
0.5030	295.831
0.5040	295.831
0.5050	295.831
0.5060	295.831
0.5070	295.831
0.5080	295.831
0.5090	295.831
0.5100	295.831
0.5110	295.632
0.5120	295.831
0.5130	295.831
0.5140	295.831
0.5150	295.831
0.5160	295.831
0.5170	295.831
0.5180	295.831
0.5190	295.831
0.5200	295.831
0.5210	295.632
0.5220	295.831
0.5230	295.632
0.5240	295.831
0.5250	295.831
0.5260	295.831
0.5270	295.831
0.5280	295.831
0.5290	295.831
0.5300	295.831
0.5310	295.831
0.5320	295.831
0.5330	295.831
0.5340	295.831
0.5350	295.831
0.5360	295.831
0.5370	295.831
0.5380	295.831
0.5390	295.831
0.5400	295.831
0.5410	295.831
0.5420	295.831
0.5430	295.831
0.5440	295.831
0.5450	295.831
0.5460	295.831
0.5470	295.831
0.5480	295.831
0.5490	295.831
0.5500	295.831
0.5510	295.831
0.5520	295.831
0.5530	295.831
0.5540	295.831
0.5550	295.831
0.5560	295.831
0.5570	295.831
0.5580	295.831
0.5590	295.831
0.5600	295.831
0.5610	295.831
0.5620	296.030
0.5630	295.831
0.5640	295.831
0.5650	295.831
0.5660	295.831
0.5670	295.831
0.5680	295.831
0.5690	295.831
0.5700	296.030
0.5710	295.831
0.5720	296.030
0.5730	295.831
0.5740	296.030
0.5750	296.030
0.5760	295.831
0.5770	296.030
0.5780	295.831
0.5790	295.831
0.5800	295.831
0.5810	295.831
0.5820	295.831
0.5830	295.831
0.5840	295.831
0.5850	295.831
0.5860	295.831
0.5870	296.030
0.5880	295.831
0.5890	295.831
0.5900	296.030
0.5910	295.831
0.5920	295.831
0.5930	296.030
0.5940	296.030
0.5950	296.030
0.5960	296.030
0.5970	296.030
0.5980	296.030
0.5990	296.030
0.6000	296.030
0.6010	296.030
0.6020	296.030
0.6030	296.030
0.6040	296.030
0.6050	296.030
0.6060	296.030
0.6070	296.030
0.6080	296.030
0.6090	296.030
0.6100	296.030
0.6110	296.030
0.6120	296.030
0.6130	296.030
0.6140	296.030
0.6150	296.030
0.6160	296.030
0.6170	296.030
0.6180	296.030
0.6190	296.030
0.6200	296.030
0.6210	296.030
0.6220	296.030
0.6230	296.030
0.6240	296.030
0.6250	296.030
0.6260	296.030
0.6270	296.030
0.6280	296.030
0.6290	296.030
0.6300	296.030
0.6310	296.030
0.6320	296.030
0.6330	296.030
0.6340	296.030
0.6350	296.030
0.6360	296.030
0.6370	296.229
0.6380	296.229
0.6390	296.030
0.6400	296.229
0.6410	296.229
0.6420	296.229
0.6430	296.229
0.6440	296.229
0.6450	296.229
0.6460	296.229
0.6470	296.229
0.6480	296.229
0.6490	296.229
0.6500	296.229
0.6510	296.229
0.6520	296.229
0.6530	296.229
0.6540	296.229
0.6550	296.030
0.6560	296.229
0.6570	296.229
0.6580	296.229
0.6590	296.229
0.6600	296.030
0.6610	296.229
0.6620	296.229
0.6630	296.229
0.6640	296.229
0.6650	296.229
0.6660	296.229
0.6670	296.229
0.6680	296.229
0.6690	296.229
0.6700	296.229
0.6710	296.229
0.6720	296.229
0.6730	296.229
0.6740	296.229
0.6750	296.229
0.6760	296.229
0.6770	296.229
0.6780	296.229
0.6790	296.229
0.6800	296.229
0.6810	296.229
0.6820	296.229
0.6830	296.229
0.6840	296.229
0.6850	296.229
0.6860	296.229
0.6870	296.229
0.6880	296.229
0.6890	296.229
0.6900	296.229
0.6910	296.229
0.6920	296.229
0.6930	296.229
0.6940	296.229
0.6950	296.229
0.6960	296.229
0.6970	296.229
0.6980	296.229
0.6990	296.229
0.7000	296.229
0.7010	296.229
0.7020	296.229
0.7030	296.229
0.7040	296.229
0.7050	296.229
0.7060	296.229
0.7070	296.229
0.7080	296.229
0.7090	296.229
0.7100	296.429
0.7110	296.229
0.7120	296.429
0.7130	296.429
0.7140	296.429
0.7150	296.229
0.7160	296.429
0.7170	296.229
0.7180	296.429
0.7190	296.429
0.7200	296.229
0.7210	296.229
0.7220	296.429
0.7230	296.229
0.7240	296.429
0.7250	296.429
0.7260	296.229
0.7270	296.229
0.7280	296.229
0.7290	296.229
0.7300	296.229
0.7310	296.229
0.7320	296.229
0.7330	296.429
0.7340	296.229
0.7350	296.429
0.7360	296.429
0.7370	296.429
0.7380	296.429
0.7390	296.429
0.7400	296.429
0.7410	296.429
0.7420	296.429
0.7430	296.429
0.7440	296.429
0.7450	296.429
0.7460	296.429
0.7470	296.429
0.7480	296.429
0.7490	296.429
0.7500	296.429
0.7510	296.429
0.7520	296.429
0.7530	296.429
0.7540	296.429
0.7550	296.429
0.7560	296.429
0.7570	296.429
0.7580	296.429
0.7590	296.429
0.7600	296.429
0.7610	296.429
0.7620	296.429
0.7630	296.429
0.7640	296.429
0.7650	296.429
0.7660	296.429
0.7670	296.429
0.7680	296.429
0.7690	296.429
0.7700	296.429
0.7710	296.429
0.7720	296.429
0.7730	296.429
0.7740	296.628
0.7750	296.429
0.7760	296.628
0.7770	296.628
0.7780	296.429
0.7790	296.628
0.7800	296.628
0.7810	296.628
0.7820	296.628
0.7830	296.628
0.7840	296.628
0.7850	296.628
0.7860	296.628
0.7870	296.628
0.7880	296.628
0.7890	296.628
0.7900	296.628
0.7910	296.628
0.7920	296.628
0.7930	296.628
0.7940	296.628
0.7950	296.628
0.7960	296.628
0.7970	296.628
0.7980	296.628
0.7990	296.628
0.8000	296.628
0.8010	296.628
0.8020	296.628
0.8030	296.628
0.8040	296.628
0.8050	296.628
0.8060	296.628
0.8070	296.628
0.8080	296.628
0.8090	296.628
0.8100	296.628
0.8110	296.628
0.8120	296.628
0.8130	296.628
0.8140	296.628
0.8150	296.628
0.8160	296.628
0.8170	296.628
0.8180	296.628
0.8190	296.628
0.8200	296.827
0.8210	296.827
0.8220	296.628
0.8230	296.628
0.8240	296.827
0.8250	296.827
0.8260	296.827
0.8270	296.628
0.8280	296.827
0.8290	296.827
0.8300	296.827
0.8310	296.827
0.8320	296.827
0.8330	296.827
0.8340	296.827
0.8350	296.628
0.8360	296.827
0.8370	296.628
0.8380	296.628
0.8390	296.628
0.8400	296.827
0.8410	296.827
0.8420	296.827
0.8430	296.628
0.8440	296.827
0.8450	296.827
0.8460	296.827
0.8470	297.026
0.8480	296.827
0.8490	296.827
0.8500	297.026
0.8510	296.827
0.8520	296.827
0.8530	296.827
0.8540	296.827
0.8550	297.026
0.8560	297.026
0.8570	296.827
0.8580	297.026
0.8590	297.026
0.8600	297.026
