Time ( s )	Y (  )
0.0000	300.612
0.0010	300.413
0.0020	300.413
0.0030	300.413
0.0040	300.413
0.0050	300.413
0.0060	300.413
0.0070	300.413
0.0080	300.413
0.0090	300.413
0.0100	300.413
0.0110	300.413
0.0120	300.413
0.0130	300.413
0.0140	300.413
0.0150	300.612
0.0160	300.413
0.0170	300.413
0.0180	300.413
0.0190	300.413
0.0200	300.612
0.0210	300.413
0.0220	300.413
0.0230	300.413
0.0240	300.413
0.0250	300.413
0.0260	300.413
0.0270	300.413
0.0280	300.612
0.0290	300.612
0.0300	300.612
0.0310	300.413
0.0320	300.612
0.0330	300.612
0.0340	300.413
0.0350	300.413
0.0360	300.413
0.0370	300.413
0.0380	300.413
0.0390	300.413
0.0400	300.413
0.0410	300.413
0.0420	300.413
0.0430	300.413
0.0440	300.413
0.0450	300.413
0.0460	300.413
0.0470	300.413
0.0480	300.413
0.0490	300.413
0.0500	300.413
0.0510	300.413
0.0520	300.413
0.0530	300.413
0.0540	300.413
0.0550	300.413
0.0560	300.413
0.0570	300.413
0.0580	300.413
0.0590	300.413
0.0600	300.413
0.0610	300.413
0.0620	300.413
0.0630	300.413
0.0640	300.413
0.0650	300.413
0.0660	300.413
0.0670	300.413
0.0680	300.413
0.0690	300.413
0.0700	300.413
0.0710	300.413
0.0720	300.413
0.0730	300.413
0.0740	300.413
0.0750	300.413
0.0760	300.612
0.0770	300.612
0.0780	300.413
0.0790	300.413
0.0800	300.413
0.0810	300.413
0.0820	300.413
0.0830	300.413
0.0840	300.413
0.0850	300.413
0.0860	300.413
0.0870	300.413
0.0880	300.413
0.0890	300.413
0.0900	300.413
0.0910	300.413
0.0920	300.413
0.0930	300.413
0.0940	300.413
0.0950	300.413
0.0960	300.413
0.0970	300.413
0.0980	300.413
0.0990	300.413
0.1000	300.413
0.1010	300.413
0.1020	300.413
0.1030	300.413
0.1040	300.413
0.1050	300.612
0.1060	300.413
0.1070	300.413
0.1080	300.413
0.1090	300.413
0.1100	300.413
0.1110	300.413
0.1120	300.413
0.1130	300.413
0.1140	300.413
0.1150	300.612
0.1160	300.413
0.1170	300.413
0.1180	300.413
0.1190	300.413
0.1200	300.413
0.1210	300.413
0.1220	300.413
0.1230	300.413
0.1240	300.413
0.1250	300.413
0.1260	300.413
0.1270	300.413
0.1280	300.413
0.1290	300.413
0.1300	300.413
0.1310	300.413
0.1320	300.413
0.1330	300.413
0.1340	300.413
0.1350	300.413
0.1360	300.413
0.1370	300.413
0.1380	300.413
0.1390	300.413
0.1400	300.413
0.1410	300.413
0.1420	300.413
0.1430	300.413
0.1440	300.612
0.1450	300.413
0.1460	300.413
0.1470	300.413
0.1480	300.413
0.1490	300.612
0.1500	300.413
0.1510	300.413
0.1520	300.413
0.1530	300.612
0.1540	300.413
0.1550	300.413
0.1560	300.413
0.1570	300.413
0.1580	300.413
0.1590	300.612
0.1600	300.612
0.1610	300.413
0.1620	300.413
0.1630	300.413
0.1640	300.413
0.1650	300.413
0.1660	300.413
0.1670	300.413
0.1680	300.413
0.1690	300.413
0.1700	300.413
0.1710	300.413
0.1720	300.413
0.1730	300.413
0.1740	300.413
0.1750	300.413
0.1760	300.413
0.1770	300.413
0.1780	300.413
0.1790	300.413
0.1800	300.413
0.1810	300.413
0.1820	300.413
0.1830	300.413
0.1840	300.413
0.1850	300.413
0.1860	300.413
0.1870	300.413
0.1880	300.413
0.1890	300.413
0.1900	300.413
0.1910	300.413
0.1920	300.413
0.1930	300.612
0.1940	300.612
0.1950	300.413
0.1960	300.413
0.1970	300.612
0.1980	300.612
0.1990	300.413
0.2000	300.413
0.2010	300.413
0.2020	300.413
0.2030	300.413
0.2040	300.413
0.2050	300.413
0.2060	300.413
0.2070	300.413
0.2080	300.413
0.2090	300.413
0.2100	300.413
0.2110	300.413
