Time ( s )	Y (  )
0.3540	116.703
0.3550	117.191
0.3560	116.703
0.3570	116.703
0.3580	116.703
0.3590	117.191
0.3600	116.703
0.3610	117.191
0.3620	117.191
0.3630	117.191
0.3640	117.191
0.3650	117.191
0.3660	117.191
0.3670	117.191
0.3680	117.191
0.3690	117.191
0.3700	117.191
0.3710	117.191
0.3720	117.191
0.3730	117.191
0.3740	117.191
0.3750	117.191
0.3760	117.191
0.3770	117.191
0.3780	117.191
0.3790	117.191
0.3800	117.191
0.3810	117.191
0.3820	117.191
0.3830	117.191
0.3840	117.191
0.3850	117.191
0.3860	117.191
0.3870	117.191
0.3880	116.703
0.3890	117.191
0.3900	117.191
0.3910	117.191
0.3920	117.191
0.3930	116.703
0.3940	117.191
0.3950	117.191
0.3960	116.703
0.3970	117.191
0.3980	116.703
0.3990	117.191
0.4000	117.191
0.4010	116.703
0.4020	117.191
0.4030	117.191
0.4040	117.191
0.4050	117.191
0.4060	117.191
0.4070	117.191
0.4080	116.703
0.4090	117.191
0.4100	117.191
0.4110	117.191
0.4120	117.191
0.4130	117.191
0.4140	117.191
0.4150	117.191
0.4160	117.191
0.4170	117.191
0.4180	117.191
0.4190	117.191
0.4200	117.191
0.4210	117.191
0.4220	117.191
0.4230	117.191
0.4240	116.703
0.4250	117.191
0.4260	117.191
0.4270	117.191
0.4280	117.191
0.4290	117.191
0.4300	117.191
0.4310	117.191
0.4320	117.191
0.4330	117.191
0.4340	117.191
0.4350	117.191
0.4360	117.191
0.4370	117.191
0.4380	117.191
0.4390	117.191
0.4400	117.191
0.4410	117.191
0.4420	117.191
0.4430	117.191
0.4440	117.191
0.4450	117.191
0.4460	117.191
0.4470	117.191
0.4480	117.191
0.4490	117.191
0.4500	117.191
0.4510	117.191
0.4520	117.191
0.4530	117.191
0.4540	117.191
0.4550	117.191
0.4560	117.191
0.4570	117.191
0.4580	117.191
0.4590	117.191
0.4600	117.191
0.4610	117.191
0.4620	117.191
0.4630	117.191
0.4640	117.191
0.4650	117.191
0.4660	117.191
0.4670	117.191
0.4680	117.191
0.4690	117.191
0.4700	117.191
0.4710	117.191
0.4720	117.191
0.4730	117.191
0.4740	116.703
0.4750	116.703
0.4760	117.191
0.4770	116.703
0.4780	117.191
0.4790	117.191
